Data,Casos,Em análise,Negativos,Obitos,Recuperados,UTI
11/03/2020,2,0,86,0,0,0
12/03/2020,2,0,94,0,0,0
13/03/2020,4,0,102,0,0,0
14/03/2020,5,0,102,0,0,0
15/03/2020,5,0,102,0,0,0
16/03/2020,8,0,107,0,0,0
17/03/2020,16,0,107,0,0,0
18/03/2020,20,0,149,0,0,0
19/03/2020,22,0,149,0,0,0
20/03/2020,32,0,166,0,0,0
21/03/2020,42,0,183,0,0,0
22/03/2020,60,0,183,0,0,0
23/03/2020,68,0,279,0,0,0
24/03/2020,81,0,305,0,0,0
25/03/2020,100,0,308,1,8,0
26/03/2020,115,0,350,1,17,11
27/03/2020,118,0,401,2,17,10
28/03/2020,133,0,401,2,17,16
29/03/2020,144,0,399,2,17,18
30/03/2020,162,0,460,2,24,20
31/03/2020,190,0,481,2,26,18
01/04/2020,208,0,484,3,27,25
02/04/2020,227,0,522,3,37,26
03/04/2020,233,0,564,4,44,28
04/04/2020,240,0,569,4,50,32
05/04/2020,251,0,570,4,53,31
06/04/2020,259,0,617,5,59,33
07/04/2020,265,0,625,5,77,34
08/04/2020,292,0,627,6,105,36
09/04/2020,297,0,673,6,105,42
10/04/2020,305,0,673,6,105,43
11/04/2020,308,0,673,6,117,40
12/04/2020,311,0,983,6,117,38
13/04/2020,324,0,1016,7,145,39
14/04/2020,332,0,1077,8,153,40
15/04/2020,355,0,1090,8,160,38
16/04/2020,365,0,1116,8,168,39
17/04/2020,377,0,1116,9,178,40
18/04/2020,385,0,1045,9,178,40
19/04/2020,397,0,1045,9,178,38
20/04/2020,398,0,1087,10,184,36
21/04/2020,400,0,1098,10,184,31
22/04/2020,416,0,1126,10,197,30
23/04/2020,421,0,1151,10,221,33
24/04/2020,430,0,1171,11,234,34
25/04/2020,430,0,1175,12,234,35
26/04/2020,436,0,1177,13,234,31
27/04/2020,450,0,1179,14,249,32
28/04/2020,454,0,1225,14,270,35
29/04/2020,470,0,1244,14,278,35
30/04/2020,488,0,1358,15,288,28
01/05/2020,489,0,1364,15,288,32
02/05/2020,495,0,1381,16,288,32
03/05/2020,498,0,1381,16,288,35
04/05/2020,505,0,1422,16,303,36
05/05/2020,511,333,1452,17,327,30
06/05/2020,519,281,1494,17,343,38
07/05/2020,562,318,1553,17,367,39
08/05/2020,582,361,1602,17,374,40
09/05/2020,590,467,1630,17,394,42
10/05/2020,603,459,1631,17,394,41
11/05/2020,644,652,1671,18,412,41
12/05/2020,660,226,1739,19,434,41
13/05/2020,723,89,1966,21,448,38
14/05/2020,760,1354,1982,21,455,36
15/05/2020,794,1702,2200,21,463,36
16/05/2020,814,1721,2202,21,463,44
17/05/2020,818,1721,2202,21,463,43
18/05/2020,843,1932,2226,24,493,45
19/05/2020,874,2194,2294,25,501,44
20/05/2020,897,2276,2315,25,537,45
21/05/2020,922,2530,2419,26,552,47
22/05/2020,934,2688,2545,27,560,48
23/05/2020,950,2787,2578,27,560,45
24/05/2020,983,2558,2737,29,560,44
25/05/2020,1014,2637,2931,32,564,42
26/05/2020,1049,2743,3056,32,573,43
27/05/2020,1098,2991,3061,34,591,46
28/05/2020,1130,2795,3181,34,595,42
29/05/2020,1196,2822,3325,34,601,40
30/05/2020,1207,2860,3325,35,601,49
31/05/2020,1236,2884,3331,36,601,48
01/06/2020,1265,3107,3331,39,601,45
02/06/2020,1315,3294,3443,41,617,46
03/06/2020,1367,3320,3475,41,617,47
04/06/2020,1489,3302,3549,43,617,44
05/06/2020,1577,3971,3806,44,619,46
06/06/2020,1602,3649,4127,44,619,46
07/06/2020,1672,3407,4127,44,619,54
08/06/2020,1712,4753,4614,45,619,62
09/06/2020,1761,4417,4227,48,619,61
10/06/2020,1850,4134,4541,50,619,67
11/06/2020,2047,4514,5294,51,619,69
12/06/2020,2082,4914,6805,51,796,66
13/06/2020,2108,4929,6821,52,796,72
14/06/2020,2122,4918,6821,53,838,76
15/06/2020,2280,4047,7421,57,841,79
16/06/2020,2383,4710,7804,58,841,76
17/06/2020,2445,5001,8078,58,841,81
